algorithm,n,k,time
G2,70000,125,37720901
G2,70000,125,26407772
G2,70000,125,32296074
G2,80000,125,75599135
G2,80000,125,48072816
G2,80000,125,51856229
G2,80000,125,71259133
G2,80000,125,41010558
G2,80000,125,50816011
G2,80000,125,40367869
G2,80000,125,52678086
approx_1.0,20000,5,2083481
approx_1.0,20000,5,1914042
approx_1.0,20000,5,1918859
approx_1.0,20000,5,2047179
approx_1.0,20000,5,1927368
approx_1.0,20000,5,1927094
approx_1.0,20000,5,2165422
approx_1.0,20000,5,2173034
approx_1.0,30000,5,2833534
approx_1.0,30000,5,2909964
approx_1.0,30000,5,3204696
approx_1.0,30000,5,2553592
approx_1.0,30000,5,3043002
approx_1.0,30000,5,3130258
approx_1.0,30000,5,3028905
approx_1.0,30000,5,2659324
approx_1.0,40000,5,7254851
approx_1.0,40000,5,7387658
approx_1.0,40000,5,6780058
approx_1.0,40000,5,5996444
approx_1.0,40000,5,6489181
approx_1.0,40000,5,5643905
approx_1.0,40000,5,7161735
approx_1.0,40000,5,4850471
approx_1.0,50000,5,6175844
approx_1.0,50000,5,8131228
approx_1.0,50000,5,7136328
approx_1.0,50000,5,7280229
approx_1.0,50000,5,6773511
approx_1.0,50000,5,6431611
approx_1.0,50000,5,7718964
approx_1.0,50000,5,7104120
approx_1.0,60000,5,10016941
approx_1.0,60000,5,10239627
approx_1.0,60000,5,9430089
approx_1.0,60000,5,9807203
approx_1.0,60000,5,11176252
approx_1.0,60000,5,10235486
approx_1.0,60000,5,10451984
approx_1.0,60000,5,9930295
approx_1.0,70000,5,19476926
approx_1.0,70000,5,16964313
approx_1.0,70000,5,17454391
approx_1.0,70000,5,18289271
approx_1.0,70000,5,18890167
approx_1.0,70000,5,20744263
approx_1.0,70000,5,18913198
approx_1.0,70000,5,18039525
approx_1.0,80000,5,19878139
approx_1.0,80000,5,20415863
approx_1.0,80000,5,20683304
approx_1.0,80000,5,16845237
approx_1.0,80000,5,20276374
approx_1.0,80000,5,17501352
approx_1.0,80000,5,22308042
approx_1.0,80000,5,21048044
approx_1.0,20000,125,1834872
approx_1.0,20000,125,2040688
